"Date","Americas_chge","Americas_7d_ave","Europe_chge","Europe_7d_ave","Asia_chge","Asia_7d_ave","Africa_chge","Africa_7d_ave","Oceania_chge","Oceania_7d_ave","World_chge","World_7d_ave"
2020-12-23,331266,309957.714285714,247131,220008.571428571,90965,92485.5714285714,25729,20287.1428571429,25,35.7142857142857,695122,642778.571428571
2020-12-24,301028,301141.142857143,249434,219299.285714286,89103,90663,27044,21220.8571428571,31,31.2857142857143,666640,632358.285714286
2020-12-25,173243,275009.571428571,180469,210211.428571429,86026,88544,25785,22144.4285714286,23,29.8571428571429,465550,595942.285714286
2020-12-26,275649,272725,139725,201399.571428571,75817,85533.2857142857,21381,22161.7142857143,27,26.8571428571429,512602,581849.285714286
2020-12-27,212717,266294.142857143,135144,196454.571428571,71886,83300.2857142857,18675,22197.2857142857,29,26,438453,568275
2020-12-28,238447,262371,171874,194327.857142857,70764,82006,15211,21973,19,25.5714285714286,496323,560707.285714286
2020-12-29,317865,264316.428571429,243752,195361.285714286,82646,81029.5714285714,20128,21993.2857142857,35,27,664428,562731.142857143
2020-12-30,351027,267139.428571429,295302,202242.857142857,84247,80069.8571428571,30617,22691.5714285714,35,28.4285714285714,761230,572175.142857143
2020-12-31,359977,275560.714285714,269948,205173.428571429,65273,76665.5714285714,29789,23083.7142857143,20,26.8571428571429,725009,580513.571428571
2021-01-01,219631,282187.571428571,208756,209214.428571429,76885,75359.7142857143,27708,23358.4285714286,35,28.5714285714286,533018,590151.857142857
2021-01-02,354039,293386.142857143,158864,211948.571428571,90488,77455.5714285714,22919,23578.1428571429,43,30.8571428571429,626359,606402.857142857
2021-01-03,273192,302025.428571429,167513,216572.714285714,70058,77194.4285714286,21990,24051.7142857143,39,32.2857142857143,532796,619880.428571429
2021-01-04,255090,304403,203099,221033.428571429,74116,77673.2857142857,21792,24991.8571428571,18,32.1428571428571,554118,628136.857142857
2021-01-05,355079,309719.285714286,275122,225514.857142857,83049,77730.8571428571,26847,25951.7142857143,23,30.4285714285714,740122,638950.285714286
2021-01-06,390499,315358.142857143,269019,221760.142857143,88048,78273.8571428571,35792,26691,12,27.1428571428571,783372,642113.428571429
2021-01-07,437035,326366.428571429,320328,228957.285714286,88044,81526.8571428571,35402,27492.8571428571,25,27.8571428571429,880837,664374.571428571
2021-01-08,424449,355626.142857143,274380,238332.142857143,67894,80242.4285714286,36473,28745,23,26.1428571428571,803222,702975.142857143
2021-01-09,393173,361216.714285714,227380,248120.142857143,105295,82357.7142857143,35099,30485,44,26.2857142857143,760994,722208.714285714
2021-01-10,298093,364774,182595,250274.714285714,76817,83323.2857142857,31607,31858.8571428571,22,23.8571428571429,589134,730257
2021-01-11,304722,371864.285714286,212483,251615.285714286,74658,83400.7142857143,28033,32750.4285714286,28,25.2857142857143,619930,739658.714285714
2021-01-12,360176,372592.428571429,236938,246160.428571429,82236,83284.5714285714,26128,32647.7142857143,26,25.7142857142857,705508,734713.857142857
2021-01-13,364614,368894.571428571,262589,245241.857142857,87164,83158.2857142857,33997,32391.2857142857,20,26.8571428571429,748388,729716.142857143
2021-01-14,377180,360343.857142857,257236,236228.714285714,86556,82945.7142857143,34228,32223.5714285714,28,27.2857142857143,755228,711772
2021-01-15,407148,357872.285714286,245371,232084.571428571,83072,85114,31575,31523.8571428571,20,26.8571428571429,767187,706624.142857143
2021-01-16,340608,350363,185002,226030.571428571,85927,82347.1428571429,27568,30448,31,25,639144,689217
2021-01-17,271523,346567.285714286,155764,222197.571428571,75333,82135.1428571429,26569,29728.2857142857,19,24.5714285714286,529212,680656.714285714
2021-01-18,218708,334279.571428571,209158,221722.571428571,64707,80713.5714285714,22476,28934.4285714286,10,22,515066,665676.142857143
2021-01-19,307652,326776.142857143,202434,216793.428571429,74910,79667,23410,28546.1428571429,14,20.2857142857143,608426,651807.285714286
2021-01-20,334628,322492.428571429,248050,214716.428571429,81910,78916.4285714286,28337,27737.5714285714,10,18.8571428571429,692937,643885.714285714
2021-01-21,327014,315325.857142857,224925,210100.571428571,76492,77478.7142857143,27865,26828.5714285714,15,17,656323,629756.428571429
2021-01-22,327205,303905.428571429,229892,207889.285714286,75780,76437,26179,26057.7142857143,5,14.8571428571429,659061,614309.857142857
2021-01-23,298196,297846.571428571,169298,205645.857142857,73306,74634,27308,26020.5714285714,13,12.2857142857143,568124,604164.142857143
2021-01-24,218984,290341,139500,203322.428571429,67029,73447.7142857143,20120,25099.2857142857,16,11.8571428571429,445654,592227.285714286
2021-01-25,226457,291448,194342,201205.857142857,59841,72752.5714285714,16695,24273.4285714286,5,11.1428571428571,497340,589695
2021-01-26,283321,287972.142857143,178969,197853.714285714,75323,72811.5714285714,18598,23586,26,12.8571428571429,556238,582239.571428571
